snippet_std,preprocessed_snippet,date_std,source
With cannabis legalised in some Australian states for medicinal use businesses are positioning themselves for what is tipped to be a green,"['With', 'cannabis', 'legalised', 'Australian', 'state', 'medicinal', 'use', 'business', 'positioning', 'tipped', 'green']",2019-02-04,snippet
Buying legal marijuana is as easy as picking up the phone Here s how I did it Top quality legal cannabis can be in your letterbox within days,"['Buying', 'legal', 'marijuana', 'easy', 'picking', 'phone', 'Here', 'I', 'Top', 'quality', 'legal', 'cannabis', 'letterbox', 'within', 'day']",2022-09-28,snippet
New research confirms medicinal cannabis product CBD does not impair people s ability to drive even at high doses,"['New', 'research', 'confirms', 'medicinal', 'cannabis', 'product', 'CBD', 'impair', 'people', 'ability', 'drive', 'even', 'high', 'dos']",2022-05-31,snippet
The Australian Natural Therapeutics Group facility near Armidale is about to start producing medicinal cannabis oil on a commercial scale,"['The', 'Australian', 'Natural', 'Therapeutics', 'Group', 'facility', 'near', 'Armidale', 'start', 'producing', 'medicinal', 'cannabis', 'oil', 'commercial', 'scale']",2020-09-28,snippet
3 days ago New technology could see driver eye monitoring used to measure impairment as medicinal cannabis users and advocates call for an overhaul of,"['3', 'day', 'ago', 'New', 'technology', 'could', 'see', 'driver', 'eye', 'monitoring', 'used', 'measure', 'impairment', 'medicinal', 'cannabis', 'user', 'advocate', 'call', 'overhaul']",2023-04-15,snippet
Medicinal cannabis could be legally grown and prescribed to patients as early as next year under a cross party bill that has attracted,"['Medicinal', 'cannabis', 'could', 'legally', 'grown', 'prescribed', 'patient', 'early', 'next', 'year', 'cross', 'party', 'bill', 'attracted']",2015-10-12,snippet
A Canadian company is building a 50m plant in Melbourne s south east to help the local medicinal cannabis industry become more,"['A', 'Canadian', 'company', 'building', '50m', 'plant', 'Melbourne', 'south', 'east', 'help', 'local', 'medicinal', 'cannabis', 'industry', 'become']",2020-06-01,snippet
Hancock Prospecting has turned over a new leaf investing in the blooming medicinal cannabis industry but has hit environmental regulation,"['Hancock', 'Prospecting', 'turned', 'new', 'leaf', 'investing', 'blooming', 'medicinal', 'cannabis', 'industry', 'hit', 'environmental', 'regulation']",2021-06-22,snippet
Medicinal cannabis could soon be legally grown in Australia with reforms passed to create a national licensing scheme for growers,"['Medicinal', 'cannabis', 'could', 'soon', 'legally', 'grown', 'Australia', 'reform', 'passed', 'create', 'national', 'licensing', 'scheme', 'grower']",2016-02-24,snippet
Medicinal cannabis could be available over the counter in Australia by next year as the national medicines regulator weighs a proposal to,"['Medicinal', 'cannabis', 'could', 'available', 'counter', 'Australia', 'next', 'year', 'national', 'medicine', 'regulator', 'weighs', 'proposal']",2020-09-14,snippet
It is an offence for Victorians to drive with any trace of psychoactive cannabis in their system or when impaired by any prescription medication,"['It', 'offence', 'Victorians', 'drive', 'trace', 'psychoactive', 'cannabis', 'system', 'impaired', 'prescription', 'medication']",2023-02-28,snippet
A groundbreaking new trial of medicinal cannabis has uncovered some promising results for families of children living with autism,"['A', 'groundbreaking', 'new', 'trial', 'medicinal', 'cannabis', 'uncovered', 'promising', 'result', 'family', 'child', 'living', 'autism']",2022-11-18,snippet
Budding cannabis producers can now apply for a licence to grow the crop legally in Australia for medicinal use only,"['Budding', 'cannabis', 'producer', 'apply', 'licence', 'grow', 'crop', 'legally', 'Australia', 'medicinal', 'use']",2016-10-30,snippet
A medicinal cannabis farm has been declared open for business in south east Queensland with the race on to supply the product to the,"['A', 'medicinal', 'cannabis', 'farm', 'declared', 'open', 'business', 'south', 'east', 'Queensland', 'race', 'supply', 'product']",2019-08-27,snippet
The debate about medicinal cannabis in Australia has fallen into a deep hole In 2003 and again in 2014 NSW Premiers proposed legalising,"['The', 'debate', 'medicinal', 'cannabis', 'Australia', 'fallen', 'deep', 'hole', 'In', '2003', '2014', 'NSW', 'Premiers', 'proposed', 'legalising']",2014-11-17,snippet
The Sunshine Coast should become home to the state s medical marijuana production according to a Queensland MP,"['The', 'Sunshine', 'Coast', 'become', 'home', 'state', 'medical', 'marijuana', 'production', 'according', 'Queensland', 'MP']",2016-10-13,snippet
A new hotline is expected to fast track access to medicinal cannabis for palliative care patients in NSW,"['A', 'new', 'hotline', 'expected', 'fast', 'track', 'access', 'medicinal', 'cannabis', 'palliative', 'care', 'patient', 'NSW']",2017-11-23,snippet
The Turnbull government will introduce a national scheme to legalise medicinal cannabis by licensing growers next year which could pave the,"['The', 'Turnbull', 'government', 'introduce', 'national', 'scheme', 'legalise', 'medicinal', 'cannabis', 'licensing', 'grower', 'next', 'year', 'could', 'pave']",2015-12-02,snippet
According to court documents later that month Mr Rice was prescribed medicinal cannabis specifically THC Flower Relax Daylesford Bud by his,"['According', 'court', 'document', 'later', 'month', 'Mr', 'Rice', 'prescribed', 'medicinal', 'cannabis', 'specifically', 'THC', 'Flower', 'Relax', 'Daylesford', 'Bud']",2021-12-12,snippet
Some parents have been unable to wait for a trial sourcing medical marijuana illegally usually in desperate attempts to ease their children s,"['Some', 'parent', 'unable', 'wait', 'trial', 'sourcing', 'medical', 'marijuana', 'illegally', 'usually', 'desperate', 'attempt', 'ease', 'child']",2015-03-23,snippet
Queensland accounts for more than half the medicinal cannabis prescriptions ever dispensed in Australia but other states are now expected,"['Queensland', 'account', 'half', 'medicinal', 'cannabis', 'prescription', 'ever', 'dispensed', 'Australia', 'state', 'expected']",2022-05-10,snippet
Ellie a 15 year old Staffy has a new spring in her step which her owner believes is thanks to a daily dose of medicinal cannabis oil,"['Ellie', '15', 'year', 'old', 'Staffy', 'new', 'spring', 'step', 'owner', 'belief', 'thanks', 'daily', 'dose', 'medicinal', 'cannabis', 'oil']",2016-07-13,snippet
The authors pointed out the findings related specifically to medicinal cannabis such as the medically derived extracts THC and CBD as opposed,"['The', 'author', 'pointed', 'finding', 'related', 'specifically', 'medicinal', 'cannabis', 'medically', 'derived', 'extract', 'THC', 'CBD', 'opposed']",2019-10-30,snippet
The Turnbull government will on Wednesday introduce a national scheme into Parliament to licence medicinal cannabis growers,"['The', 'Turnbull', 'government', 'Wednesday', 'introduce', 'national', 'scheme', 'Parliament', 'licence', 'medicinal', 'cannabis', 'grower']",2016-02-10,snippet
Bill Shorten visited a Sydney couple to talk about their use of medicinal cannabis The next day the police came knocking,"['Bill', 'Shorten', 'visited', 'Sydney', 'couple', 'talk', 'use', 'medicinal', 'cannabis', 'The', 'next', 'day', 'police', 'came', 'knocking']",2015-11-21,snippet
It was a long and tortuous path to pain relief from medical cannabis but it finally came for Patricia Brierley She also has bursitis We think,"['It', 'long', 'tortuous', 'path', 'pain', 'relief', 'medical', 'cannabis', 'finally', 'came', 'Patricia', 'Brierley', 'She', 'also', 'bursitis', 'We', 'think']",2019-09-12,snippet
These sort of trials do not yet exist for many things people seek to treat with medicinal marijuana That s why only one cannabis medication,"['These', 'sort', 'trial', 'yet', 'exist', 'many', 'thing', 'people', 'seek', 'treat', 'medicinal', 'marijuana', 'That', 'one', 'cannabis', 'medication']",2018-04-06,snippet
Australian medical cannabis operators are in a race to bring the first over the counter CBD medicines to pharmacies but consumers have been,"['Australian', 'medical', 'cannabis', 'operator', 'race', 'bring', 'first', 'counter', 'CBD', 'medicine', 'pharmacy', 'consumer']",2022-03-24,snippet
Medicinal cannabis campaigner and United in Compassion co founder Lucy Haslam told Fairfax Media the final decision was an essential step in,"['Medicinal', 'cannabis', 'campaigner', 'United', 'Compassion', 'co', 'founder', 'Lucy', 'Haslam', 'told', 'Fairfax', 'Media', 'final', 'decision', 'essential', 'step']",2016-09-01,snippet
Two Australian companies are leading the charge to introduce medical cannabis hoping to launch a local industry estimated to be worth 100,"['Two', 'Australian', 'company', 'leading', 'charge', 'introduce', 'medical', 'cannabis', 'hoping', 'launch', 'local', 'industry', 'estimated', 'worth', '100']",2015-01-31,snippet
Information booklets on medicinal cannabis which aim to make it easier for doctors to prescribe the controversial drug have been released,"['Information', 'booklet', 'medicinal', 'cannabis', 'aim', 'make', 'easier', 'doctor', 'prescribe', 'controversial', 'drug', 'released']",2017-12-24,snippet
Dan Haslam the Tamworth man whose story about the relief cannabis gave him from the pains of cancer was instrumental to changing the,"['Dan', 'Haslam', 'Tamworth', 'man', 'whose', 'story', 'relief', 'cannabis', 'gave', 'pain', 'cancer', 'instrumental', 'changing']",2015-02-25,snippet
Having retired six years ago due to chronic pain the three time WNBA MVP hopes to get the green light to continue using medicinal cannabis,"['Having', 'retired', 'six', 'year', 'ago', 'due', 'chronic', 'pain', 'three', 'time', 'WNBA', 'MVP', 'hope', 'get', 'green', 'light', 'continue', 'using', 'medicinal', 'cannabis']",2022-02-02,snippet
In a finding that is likely to further intensify the debate about medical marijuana use the National Drug and Alcohol Centre researchers found,"['In', 'finding', 'likely', 'intensify', 'debate', 'medical', 'marijuana', 'use', 'National', 'Drug', 'Alcohol', 'Centre', 'researcher', 'found']",2015-01-26,snippet
Charlotte was a US toddler with Dravets whose seizures decreased dramatically after she was given a strain of Cannabis called CBD This girl,"['Charlotte', 'US', 'toddler', 'Dravets', 'whose', 'seizure', 'decreased', 'dramatically', 'given', 'strain', 'Cannabis', 'called', 'CBD', 'This', 'girl']",2015-06-12,snippet
Exemptions to use medicinal cannabis while competing such as the one sought by Lauren Jackson won t be needed in the future according to,"['Exemptions', 'use', 'medicinal', 'cannabis', 'competing', 'one', 'sought', 'Lauren', 'Jackson', 'needed', 'future', 'according']",2022-02-03,snippet
The bill introduced by Greens MP Cate Faehrmann would provide a defence against drug driving charges for medicinal cannabis users similar to,"['The', 'bill', 'introduced', 'Greens', 'MP', 'Cate', 'Faehrmann', 'would', 'provide', 'defence', 'drug', 'driving', 'charge', 'medicinal', 'cannabis', 'user', 'similar']",2022-06-16,snippet
Medicinal cannabis users could be free as early as next year to drive with the substance in their bodies as the state government considers,"['Medicinal', 'cannabis', 'user', 'could', 'free', 'early', 'next', 'year', 'drive', 'substance', 'body', 'state', 'government', 'considers']",2020-10-14,snippet
An Australian company is testing whether medicinal cannabis product could be used to treat medical conditions in family pets,"['An', 'Australian', 'company', 'testing', 'whether', 'medicinal', 'cannabis', 'product', 'could', 'used', 'treat', 'medical', 'condition', 'family', 'pet']",2018-07-21,snippet
It s time the government and the medical fraternity stopped burying their heads in the sand over the use of cannabis for medicinal purposes,"['It', 'time', 'government', 'medical', 'fraternity', 'stopped', 'burying', 'head', 'sand', 'use', 'cannabis', 'medicinal', 'purpose']",2014-09-08,snippet
Health Minister Sussan Ley said on Friday she was finalising changes to the Narcotics Drugs Act to allow cannabis to be grown for medicinal and,"['Health', 'Minister', 'Sussan', 'Ley', 'said', 'Friday', 'finalising', 'change', 'Narcotics', 'Drugs', 'Act', 'allow', 'cannabis', 'grown', 'medicinal']",2015-10-16,snippet
Queensland is set to join a New South Wales led push for medicinal cannabis trials but some parents of children suffering from epilepsy say,"['Queensland', 'set', 'join', 'New', 'South', 'Wales', 'led', 'push', 'medicinal', 'cannabis', 'trial', 'parent', 'child', 'suffering', 'epilepsy', 'say']",2015-06-06,snippet
Medical professionals want more information about medicinal cannabis before they start prescribing it to patients a new study has found,"['Medical', 'professional', 'want', 'information', 'medicinal', 'cannabis', 'start', 'prescribing', 'patient', 'new', 'study', 'found']",2019-05-11,snippet
Premier Mike Baird will launch a symposium debating the medical use of cannabis on Friday,"['Premier', 'Mike', 'Baird', 'launch', 'symposium', 'debating', 'medical', 'use', 'cannabis', 'Friday']",2014-11-16,snippet
A massive manufacturing hub for medicinal cannabis sleep capsules has been built in Victoria June 29 2022 8 54pm Save,"['A', 'massive', 'manufacturing', 'hub', 'medicinal', 'cannabis', 'sleep', 'capsule', 'built', 'Victoria', 'June', '29', '2022', '8', '54pm', 'Save']",,snippet
Medicinal cannabis advocates are fighting for users to have the right to drive with the medication in their system,"['Medicinal', 'cannabis', 'advocate', 'fighting', 'user', 'right', 'drive', 'medication', 'system']",2023-02-22,snippet
Surveys show nearly three quarters of the population wants the nation s drug laws to change and politicians across the political spectrum,"['Surveys', 'show', 'nearly', 'three', 'quarter', 'population', 'want', 'nation', 'drug', 'law', 'change', 'politician', 'across', 'political', 'spectrum']",2015-06-19,snippet
Medicinal marijuana is regulated by the Federal Government Office of Drug Control Australian Medical Association Queensland spokesman Dr Jim,"['Medicinal', 'marijuana', 'regulated', 'Federal', 'Government', 'Office', 'Drug', 'Control', 'Australian', 'Medical', 'Association', 'Queensland', 'spokesman', 'Dr', 'Jim']",2018-08-11,snippet
Mikayla 13 suffers from a rare disorder that causes multiple seizures each and every day but medicinal cannabis has changed her life,"['Mikayla', '13', 'suffers', 'rare', 'disorder', 'cause', 'multiple', 'seizure', 'every', 'day', 'medicinal', 'cannabis', 'changed', 'life']",2018-04-24,snippet
NSW is spending 9 million over five years on three trials for medicinal cannabis to treat terminally ill patients children with epilepsy,"['NSW', 'spending', '9', 'million', 'five', 'year', 'three', 'trial', 'medicinal', 'cannabis', 'treat', 'terminally', 'ill', 'patient', 'child', 'epilepsy']",2015-04-19,snippet
The ACT government has rejected a push to create an effective amnesty for medicinal cannabis users by directing police not to charge them with,"['The', 'ACT', 'government', 'rejected', 'push', 'create', 'effective', 'amnesty', 'medicinal', 'cannabis', 'user', 'directing', 'police', 'charge']",2016-05-22,snippet
Affordable and easy to take medicinal cannabis wafers are now available in Queensland 7 05pm Save,"['Affordable', 'easy', 'take', 'medicinal', 'cannabis', 'wafer', 'available', 'Queensland', '7', '05pm', 'Save']",2020-05-05,snippet
Lucy Haslam spearheaded the fight for medicinal cannabis to be legalised in Australia but the fight is not over,"['Lucy', 'Haslam', 'spearheaded', 'fight', 'medicinal', 'cannabis', 'legalised', 'Australia', 'fight']",2023-02-24,snippet
Chile legalised the use of medical marijuana in 2015 and Gazmuri was a prominent advocate for that change She s now touring Australia to speak,"['Chile', 'legalised', 'use', 'medical', 'marijuana', '2015', 'Gazmuri', 'prominent', 'advocate', 'change', 'She', 'touring', 'Australia', 'speak']",2018-02-07,snippet
In Victoria state Opposition Leader Daniel Andrews has promised to legalise access to medical marijuana for Victorians with life threatening,"['In', 'Victoria', 'state', 'Opposition', 'Leader', 'Daniel', 'Andrews', 'promised', 'legalise', 'access', 'medical', 'marijuana', 'Victorians', 'life', 'threatening']",2014-09-17,snippet
Queensland has seen huge demand for medicinal cannabis prescriptions with demand tripling that of states like NSW since legalisation,"['Queensland', 'seen', 'huge', 'demand', 'medicinal', 'cannabis', 'prescription', 'demand', 'tripling', 'state', 'like', 'NSW', 'since', 'legalisation']",2022-01-25,snippet
Specialists would be able to prescribe medicinal cannabis to patients the same as other controlled or restricted medicine such as codeine,"['Specialists', 'would', 'able', 'prescribe', 'medicinal', 'cannabis', 'patient', 'controlled', 'restricted', 'medicine', 'codeine']",2018-11-13,snippet
Under the bill a new regulator separate from the Therapeutic Goods Administration would oversee the growing and supply of medical marijuana and,"['Under', 'bill', 'new', 'regulator', 'separate', 'Therapeutic', 'Goods', 'Administration', 'would', 'oversee', 'growing', 'supply', 'medical', 'marijuana']",2014-11-26,snippet
The latest Legal Cannabis news articles data and analysis from The Sydney Morning NSW looks at driver monitoring tech for medicinal cannabis users,"['The', 'latest', 'Legal', 'Cannabis', 'news', 'article', 'data', 'analysis', 'The', 'Sydney', 'Morning', 'NSW', 'look', 'driver', 'monitoring', 'tech', 'medicinal', 'cannabis', 'user']",,snippet
Those seeking medicinal cannabis in Australia must navigate a cumbersome application process which requires going to a specialist physician not,"['Those', 'seeking', 'medicinal', 'cannabis', 'Australia', 'must', 'navigate', 'cumbersome', 'application', 'process', 'requires', 'going', 'specialist', 'physician']",2018-02-20,snippet
Premier Mike Baird has left open the possibility he may support a private member s bill to decriminalise the use of cannabis for medicinal,"['Premier', 'Mike', 'Baird', 'left', 'open', 'possibility', 'may', 'support', 'private', 'member', 'bill', 'decriminalise', 'use', 'cannabis', 'medicinal']",2014-05-29,snippet
Medicinal marijuana will be grown on Christmas Island Cannabis remains an illegal substance in Australia but the federal government has,"['Medicinal', 'marijuana', 'grown', 'Christmas', 'Island', 'Cannabis', 'remains', 'illegal', 'substance', 'Australia', 'federal', 'government']",2015-12-09,snippet
Canberra emergency doctor David Caldicott said the use of medicinal marijuana was an obvious solution for pain relief which he believes is,"['Canberra', 'emergency', 'doctor', 'David', 'Caldicott', 'said', 'use', 'medicinal', 'marijuana', 'obvious', 'solution', 'pain', 'relief', 'belief']",2018-01-30,snippet
About 200 south east Queensland palliative care patients will be given medicinal cannabis in a trial to investigate the potential symptom,"['About', '200', 'south', 'east', 'Queensland', 'palliative', 'care', 'patient', 'given', 'medicinal', 'cannabis', 'trial', 'investigate', 'potential', 'symptom']",2018-02-03,snippet
Nationals MP Kevin Anderson is expected to introduce a bill as early as this week to legalise the use of cannabis for medicinal purposes Labor,"['Nationals', 'MP', 'Kevin', 'Anderson', 'expected', 'introduce', 'bill', 'early', 'week', 'legalise', 'use', 'cannabis', 'medicinal', 'purpose', 'Labor']",2014-09-16,snippet
A Queensland based company has been awarded the state s first licence to legally cultivate and produce medicinal cannabis,"['A', 'Queensland', 'based', 'company', 'awarded', 'state', 'first', 'licence', 'legally', 'cultivate', 'produce', 'medicinal', 'cannabis']",2017-04-21,snippet
I suspect medicinal cannabis could be the thin edge of the wedge that is being used by some to achieve a larger goal cannabis legalisation,"['I', 'suspect', 'medicinal', 'cannabis', 'could', 'thin', 'edge', 'wedge', 'used', 'achieve', 'larger', 'goal', 'cannabis', 'legalisation']",2023-01-24,snippet
Australia s first licensed medicinal cannabis producer has pitched a hub for Queensland to lead and support the growth of the emerging,"['Australia', 'first', 'licensed', 'medicinal', 'cannabis', 'producer', 'pitched', 'hub', 'Queensland', 'lead', 'support', 'growth', 'emerging']",2018-04-30,snippet
False hope is driving claims medicinal cannabis is the magic pill for chronic pain and doctors should not prescribe it just because they,"['False', 'hope', 'driving', 'claim', 'medicinal', 'cannabis', 'magic', 'pill', 'chronic', 'pain', 'doctor', 'prescribe']",2017-05-13,snippet
The farm is the first fully operational medicinal cannabis farm in the country,"['The', 'farm', 'first', 'fully', 'operational', 'medicinal', 'cannabis', 'farm', 'country']",2019-08-27,snippet
Thailand which has a tradition of using cannabis to relieve pain and fatigue legalised marijuana for medical use and research in 2017 to boost,"['Thailand', 'tradition', 'using', 'cannabis', 'relieve', 'pain', 'fatigue', 'legalised', 'marijuana', 'medical', 'use', 'research', '2017', 'boost']",2020-01-07,snippet
Major health insurer becomes first in Australia to support medical cannabis treatments Under HIF s changes customers who subscribe to its pharmacy drugs,"['Major', 'health', 'insurer', 'becomes', 'first', 'Australia', 'support', 'medical', 'cannabis', 'treatment', 'Under', 'HIF', 'change', 'customer', 'subscribe', 'pharmacy', 'drug']",,snippet
The use of cannabis by terminally ill adults for medicinal purposes will be the subject of a clinical trial established by the NSW,"['The', 'use', 'cannabis', 'terminally', 'ill', 'adult', 'medicinal', 'purpose', 'subject', 'clinical', 'trial', 'established', 'NSW']",2014-09-16,snippet
Health Minister Cameron Dick wants state to lead Australia in making medicinal cannabis available to stricken patients,"['Health', 'Minister', 'Cameron', 'Dick', 'want', 'state', 'lead', 'Australia', 'making', 'medicinal', 'cannabis', 'available', 'stricken', 'patient']",2016-02-28,snippet
The NSW government s clinical trial of medicinal cannabis is inappropriate for patients suffering extreme pain and the drug should be,"['The', 'NSW', 'government', 'clinical', 'trial', 'medicinal', 'cannabis', 'inappropriate', 'patient', 'suffering', 'extreme', 'pain', 'drug']",2015-02-01,snippet
Medicinal marijuana company Phytotech Medical has made a stellar stock market debut with its shares doubling in value,"['Medicinal', 'marijuana', 'company', 'Phytotech', 'Medical', 'made', 'stellar', 'stock', 'market', 'debut', 'share', 'doubling', 'value']",2015-01-22,snippet
CEO Mark Brayshaw has resigned from his position as head of the organisation to lead a start up company involved in medicinal cannabis,"['CEO', 'Mark', 'Brayshaw', 'resigned', 'position', 'head', 'organisation', 'lead', 'start', 'company', 'involved', 'medicinal', 'cannabis']",2021-01-20,snippet
Families that cannot afford newly legal medicinal cannabis will be given taxpayer funded assistance to buy the treatment Premier Daniel,"['Families', 'afford', 'newly', 'legal', 'medicinal', 'cannabis', 'given', 'taxpayer', 'funded', 'assistance', 'buy', 'treatment', 'Premier', 'Daniel']",2016-04-19,snippet
The ANCD report said while three medical cannabis products had been developed only one of them Sativex had been approved for use by the,"['The', 'ANCD', 'report', 'said', 'three', 'medical', 'cannabis', 'product', 'developed', 'one', 'Sativex', 'approved', 'use']",2014-08-25,snippet
Farmers are watching developments on the medicinal cannabis front with interest but have not rushed the government asking to grow the drug,"['Farmers', 'watching', 'development', 'medicinal', 'cannabis', 'front', 'interest', 'rushed', 'government', 'asking', 'grow', 'drug']",2016-04-19,snippet
A WA based metal explorer says it has made a significant step towards breaking into the big money world of medicinal marijuana production,"['A', 'WA', 'based', 'metal', 'explorer', 'say', 'made', 'significant', 'step', 'towards', 'breaking', 'big', 'money', 'world', 'medicinal', 'marijuana', 'production']",2015-08-11,snippet
for the first time globally trial a new cannabis derived drug and have access to a secure supply of medicinal cannabis from early 2016,"['first', 'time', 'globally', 'trial', 'new', 'cannabis', 'derived', 'drug', 'access', 'secure', 'supply', 'medicinal', 'cannabis', 'early', '2016']",2015-10-27,snippet
Western Australia will not join NSW in medicinal cannabis trials despite both Queensland and Victoria signing up to the research,"['Western', 'Australia', 'join', 'NSW', 'medicinal', 'cannabis', 'trial', 'despite', 'Queensland', 'Victoria', 'signing', 'research']",2015-04-19,snippet
Victoria s medicinal cannabis is a step closer to being dispensed to children with epilepsy the Premier Daniel Andrews has declared after,"['Victoria', 'medicinal', 'cannabis', 'step', 'closer', 'dispensed', 'child', 'epilepsy', 'Premier', 'Daniel', 'Andrews', 'declared']",2016-08-16,snippet
The law change will allow for the Office of Drug Control ODC to accept licences to cultivate cannabis for medical reasons Medicinal cannabis,"['The', 'law', 'change', 'allow', 'Office', 'Drug', 'Control', 'ODC', 'accept', 'licence', 'cultivate', 'cannabis', 'medical', 'reason', 'Medicinal', 'cannabis']",2016-10-29,snippet
Australia s growing medicinal cannabis industry is confident investors will be more inclined to open their wallets after Parliament s,"['Australia', 'growing', 'medicinal', 'cannabis', 'industry', 'confident', 'investor', 'inclined', 'open', 'wallet', 'Parliament']",2017-06-15,snippet
Greens MP s beliefs were strengthened by the benefit he received from cannabis as pain relief fellow MP says,"['Greens', 'MP', 'belief', 'strengthened', 'benefit', 'received', 'cannabis', 'pain', 'relief', 'fellow', 'MP', 'say']",2016-05-03,snippet
Greens minister Shane Rattenbury said he would introduce legislation to establish an ACT scheme for the cultivation and supply of medicinal cannabis after,"['Greens', 'minister', 'Shane', 'Rattenbury', 'said', 'would', 'introduce', 'legislation', 'establish', 'ACT', 'scheme', 'cultivation', 'supply', 'medicinal', 'cannabis']",,snippet
Australia s emerging medical cannabis sector says it is set to dominate the global market after the federal government approved their,"['Australia', 'emerging', 'medical', 'cannabis', 'sector', 'say', 'set', 'dominate', 'global', 'market', 'federal', 'government', 'approved']",2018-01-04,snippet
The push to legalise medical cannabis is gathering pace with a bill that would make the drug available to patients with chronic pain set to,"['The', 'push', 'legalise', 'medical', 'cannabis', 'gathering', 'pace', 'bill', 'would', 'make', 'drug', 'available', 'patient', 'chronic', 'pain', 'set']",2014-09-29,snippet
Rich lister Barry Lambert had no interest in medicinal cannabis until it saved his granddaughter from the ravages of a devastating illness,"['Rich', 'lister', 'Barry', 'Lambert', 'interest', 'medicinal', 'cannabis', 'saved', 'granddaughter', 'ravage', 'devastating', 'illness']",2019-08-24,snippet
has been accused by the Liberal Party of a conflict of interest after investing a few thousand dollars in a medicinal cannabis company,"['accused', 'Liberal', 'Party', 'conflict', 'interest', 'investing', 'thousand', 'dollar', 'medicinal', 'cannabis', 'company']",2016-09-15,snippet
The first Australian grown crop of medicinal cannabis will be exported from Norfolk Island from 2016,"['The', 'first', 'Australian', 'grown', 'crop', 'medicinal', 'cannabis', 'exported', 'Norfolk', 'Island', '2016']",2015-05-20,snippet
Raising seed funding for a medical cannabis start up is just half the battle,"['Raising', 'seed', 'funding', 'medical', 'cannabis', 'start', 'half', 'battle']",2016-06-06,snippet
Andrew Forrest is the latest billionaire to enter the medicinal cannabis arena with a 5 million share placement by his family s investment,"['Andrew', 'Forrest', 'latest', 'billionaire', 'enter', 'medicinal', 'cannabis', 'arena', '5', 'million', 'share', 'placement', 'family', 'investment']",2021-11-22,snippet
Doctors are being warned not to prescribe medicinal cannabis for their chronic pain patients unless they are part of a formal clinical,"['Doctors', 'warned', 'prescribe', 'medicinal', 'cannabis', 'chronic', 'pain', 'patient', 'unless', 'part', 'formal', 'clinical']",2021-03-23,snippet
And medical specialists can indeed apply to the Therapeutic Goods Administration to prescribe cannabis based products to their patients under,"['And', 'medical', 'specialist', 'indeed', 'apply', 'Therapeutic', 'Goods', 'Administration', 'prescribe', 'cannabis', 'based', 'product', 'patient']",2017-10-10,snippet
With cannabis legalised in some Australian states for medicinal use businesses are positioning themselves for what is tipped to be a green,"['With', 'cannabis', 'legalised', 'Australian', 'state', 'medicinal', 'use', 'business', 'positioning', 'tipped', 'green']",2019-02-04,snippet
Buying legal marijuana is as easy as picking up the phone Here s how I did it Top quality legal cannabis can be in your letterbox within days,"['Buying', 'legal', 'marijuana', 'easy', 'picking', 'phone', 'Here', 'I', 'Top', 'quality', 'legal', 'cannabis', 'letterbox', 'within', 'day']",2022-09-28,snippet
New research confirms medicinal cannabis product CBD does not impair people s ability to drive even at high doses,"['New', 'research', 'confirms', 'medicinal', 'cannabis', 'product', 'CBD', 'impair', 'people', 'ability', 'drive', 'even', 'high', 'dos']",2022-05-31,snippet
The Australian Natural Therapeutics Group facility near Armidale is about to start producing medicinal cannabis oil on a commercial scale,"['The', 'Australian', 'Natural', 'Therapeutics', 'Group', 'facility', 'near', 'Armidale', 'start', 'producing', 'medicinal', 'cannabis', 'oil', 'commercial', 'scale']",2020-09-28,snippet
3 days ago New technology could see driver eye monitoring used to measure impairment as medicinal cannabis users and advocates call for an overhaul of,"['3', 'day', 'ago', 'New', 'technology', 'could', 'see', 'driver', 'eye', 'monitoring', 'used', 'measure', 'impairment', 'medicinal', 'cannabis', 'user', 'advocate', 'call', 'overhaul']",2023-04-15,snippet
Medicinal cannabis could be legally grown and prescribed to patients as early as next year under a cross party bill that has attracted,"['Medicinal', 'cannabis', 'could', 'legally', 'grown', 'prescribed', 'patient', 'early', 'next', 'year', 'cross', 'party', 'bill', 'attracted']",2015-10-12,snippet
A Canadian company is building a 50m plant in Melbourne s south east to help the local medicinal cannabis industry become more,"['A', 'Canadian', 'company', 'building', '50m', 'plant', 'Melbourne', 'south', 'east', 'help', 'local', 'medicinal', 'cannabis', 'industry', 'become']",2020-06-01,snippet
Hancock Prospecting has turned over a new leaf investing in the blooming medicinal cannabis industry but has hit environmental regulation,"['Hancock', 'Prospecting', 'turned', 'new', 'leaf', 'investing', 'blooming', 'medicinal', 'cannabis', 'industry', 'hit', 'environmental', 'regulation']",2021-06-22,snippet
Medicinal cannabis could soon be legally grown in Australia with reforms passed to create a national licensing scheme for growers,"['Medicinal', 'cannabis', 'could', 'soon', 'legally', 'grown', 'Australia', 'reform', 'passed', 'create', 'national', 'licensing', 'scheme', 'grower']",2016-02-24,snippet
Medicinal cannabis could be available over the counter in Australia by next year as the national medicines regulator weighs a proposal to,"['Medicinal', 'cannabis', 'could', 'available', 'counter', 'Australia', 'next', 'year', 'national', 'medicine', 'regulator', 'weighs', 'proposal']",2020-09-14,snippet
It is an offence for Victorians to drive with any trace of psychoactive cannabis in their system or when impaired by any prescription medication,"['It', 'offence', 'Victorians', 'drive', 'trace', 'psychoactive', 'cannabis', 'system', 'impaired', 'prescription', 'medication']",2023-02-28,snippet
